波数,光学的厚さfor,光学的厚さpython,誤差
4974.593,3.95478406,3.910400668,-1.135008821
4974.594,4.061519607,4.015946737,-1.134797683
4974.595,4.172674034,4.125863159,-1.134571682
4974.596,4.288495099,4.240395045,-1.134329562
4974.597,4.409248214,4.359804976,-1.134069938
4974.598,4.535334469,4.484374525,-1.13638913
4974.599,4.666899873,4.614405928,-1.137610032
4974.6,4.804279122,4.750223942,-1.137950151
4974.601,4.947860645,4.892177887,-1.138199779
4974.602,5.098025626,5.040643923,-1.138380401
4974.603,5.255190485,5.196027566,-1.138618275
4974.604,5.419788246,5.358766488,-1.138727698
4974.605,5.592301122,5.529333638,-1.138789733
4974.606,5.773245734,5.70824072,-1.138792448
4974.607,5.963185995,5.896042077,-1.138796451
4974.608,6.162729513,6.093339047,-1.138792129
4974.609,6.372537397,6.300784835,-1.138787688
4974.61,6.593328123,6.519090002,-1.138780438
4974.611,6.825884728,6.749028633,-1.138772688
4974.612,7.071061364,6.99144531,-1.138763879
4974.613,7.329791477,7.247262983,-1.138753957
4974.614,7.603096831,7.517491899,-1.138743256
4974.615,7.892097717,7.803239752,-1.138731703
4974.616,8.198024652,8.105723224,-1.138719214
4974.617,8.522231729,8.426281186,-1.138705694
4974.618,8.86621188,8.766389786,-1.138691033
4974.619,9.231614407,9.12767979,-1.138675101
4974.62,9.620265166,9.511956536,-1.138657748
4974.621,10.03418987,9.921222978,-1.138638794
4974.622,10.47564109,10.35770638,-1.138618028
4974.623,10.94712962,10.82388933,-1.138595195
4974.624,11.45146107,11.32254596,-1.138569986
4974.625,11.99177873,11.85678425,-1.138542026
4974.626,12.57161383,12.43009584,-1.138510849
4974.627,13.19494499,13.0464147,-1.138475881
4974.628,13.86626847,13.71018671,-1.138436393
4974.629,14.59068192,14.42645242,-1.138391464
4974.63,15.37398443,15.200946,-1.138339907
4974.631,16.2227968,16.04021422,-1.13828018
4974.632,17.14470674,16.95176007,-1.138210253
4974.633,18.14844542,17.94421736,-1.138127418
4974.634,19.2441031,19.02756409,-1.13802802
4974.635,20.44339455,20.21338501,-1.137907051
4974.636,21.75998763,21.51519685,-1.137757553
4974.637,23.20991355,22.94885433,-1.137569712
4974.638,24.81208287,24.53306114,-1.137329449
4974.639,26.58894038,26.2900186,-1.137016219
4974.64,28.56738894,28.24625729,-1.136899828
4974.641,30.77959011,30.43371443,-1.136488553
4974.642,33.26476151,32.89114641,-1.135913889
4974.643,36.0711108,35.66600518,-1.135831215
4974.644,39.25834957,38.81696781,-1.137084584
